"low","est","high","level","unit","Animal_ID","region","Sex","DOF_area","bestModel"
265.104244100057,358.505296461674,465.783994449806,0.9,"area (hectares)","Fallow02_F","New Forest","F",48.863625052848,"OUF anisotropic"
389.139679579591,526.240674366677,683.712307091881,0.95,"area (hectares)","Fallow02_F","New Forest","F",48.863625052848,"OUF anisotropic"
623.063754585531,842.580460416558,1094.71323400695,0.99,"area (hectares)","Fallow02_F","New Forest","F",48.863625052848,"OUF anisotropic"
1049.58113668814,3546.74608717256,7536.64241501125,0.9,"area (hectares)","Fallow07_F","New Forest","F",4.42164681588116,"OU anisotropic"
1327.3182734491,4485.27581930717,9530.96701933997,0.95,"area (hectares)","Fallow07_F","New Forest","F",4.42164681588116,"OU anisotropic"
1951.56290202523,6594.72416631831,14013.4299568076,0.99,"area (hectares)","Fallow07_F","New Forest","F",4.42164681588116,"OU anisotropic"
54.2429760823441,58.6657709320864,63.2594294575116,0.9,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334960454456,"OU anisotropic"
70.9292910340506,76.7126334267144,82.719400864517,0.95,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334960454456,"OU anisotropic"
105.357081143988,113.947552934477,122.869896230617,0.99,"area (hectares)","Roe01_F","Aberdeenshire","F",650.334960454456,"OU anisotropic"
50.5191752443409,54.4801697143582,58.5885301890567,0.9,"area (hectares)","Roe02_F","Aberdeenshire","F",700.23954352938,"OU anisotropic"
67.845489972905,73.1649673653709,78.6823521612056,0.95,"area (hectares)","Roe02_F","Aberdeenshire","F",700.23954352938,"OU anisotropic"
102.470448483245,110.504722158918,118.837905318324,0.99,"area (hectares)","Roe02_F","Aberdeenshire","F",700.23954352938,"OU anisotropic"
71.4595404700013,91.5182093456502,114.020532403287,0.9,"area (hectares)","Roe03_M","New Forest","M",70.8720229856278,"OU anisotropic"
89.9912387171518,115.251749032001,143.589629637606,0.95,"area (hectares)","Roe03_M","New Forest","M",70.8720229856278,"OU anisotropic"
126.438935995224,161.930302626419,201.745417110997,0.99,"area (hectares)","Roe03_M","New Forest","M",70.8720229856278,"OU anisotropic"
32.713252294364,36.0801863136567,39.6096672720979,0.9,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402934073192,"OU anisotropic"
41.8921805756475,46.2038340503098,50.7236430964682,0.95,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402934073192,"OU anisotropic"
62.3747709362265,68.7945465158911,75.5242523955011,0.99,"area (hectares)","Roe04_F","Aberdeenshire","F",420.402934073192,"OU anisotropic"
63.3334038636997,74.6417859064507,86.8653737271748,0.9,"area (hectares)","Roe05_F","Aberdeenshire","F",154.422525767163,"OUF anisotropic"
79.0976228130672,93.2207566236006,108.486898657381,0.95,"area (hectares)","Roe05_F","Aberdeenshire","F",154.422525767163,"OUF anisotropic"
111.256301484963,131.121470339034,152.594359665134,0.99,"area (hectares)","Roe05_F","Aberdeenshire","F",154.422525767163,"OUF anisotropic"
20.1429346612557,21.774143383566,23.4679572892962,0.9,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769472393903,"OU anisotropic"
29.8303281637144,32.2460383026954,34.7544624973775,0.95,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769472393903,"OU anisotropic"
72.1069387485321,77.9462799072926,84.0097328055847,0.99,"area (hectares)","Roe06_F","Aberdeenshire","F",658.769472393903,"OU anisotropic"
45.7405073332383,57.738996881135,71.1138841778786,0.9,"area (hectares)","Roe07_F","New Forest","F",79.3926186802737,"OU anisotropic"
55.8257285676309,70.469737997664,86.7936240099227,0.95,"area (hectares)","Roe07_F","New Forest","F",79.3926186802737,"OU anisotropic"
75.5377166289917,95.3525056701778,117.440333406884,0.99,"area (hectares)","Roe07_F","New Forest","F",79.3926186802737,"OU anisotropic"
81.079632194888,90.8895384310939,101.251545293797,0.9,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778013754117,"OU anisotropic"
106.132599599058,118.973689555769,132.537474881762,0.95,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778013754117,"OU anisotropic"
161.354704454864,180.877172411653,201.498363080993,0.99,"area (hectares)","Roe08_M","Aberdeenshire","M",311.778013754117,"OU anisotropic"
38.2289519272577,41.059318228042,43.9893262459196,0.9,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513846274766,"OU anisotropic"
51.3231240862186,55.1229468263506,59.0565405424768,0.95,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513846274766,"OU anisotropic"
78.8137519406715,84.6489050454628,90.6894819763865,0.99,"area (hectares)","Roe09_M","Aberdeenshire","M",780.513846274766,"OU anisotropic"
36.3476317462104,40.7689188534434,45.4402936226344,0.9,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734928966712,"OU anisotropic"
47.6267076386968,53.4199694917164,59.5409240000178,0.95,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734928966712,"OU anisotropic"
68.8243160593667,77.1960323621526,86.0412901712828,0.99,"area (hectares)","Roe10_F","Aberdeenshire","F",308.734928966712,"OU anisotropic"
30.4957499587265,35.1245213197569,40.0755587454158,0.9,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392715731078,"OU anisotropic"
36.6943113446808,42.2639260514799,48.2213105730009,0.95,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392715731078,"OU anisotropic"
50.913806068716,58.641714637316,66.907658569507,0.99,"area (hectares)","Roe11_F","Aberdeenshire","F",206.392715731078,"OU anisotropic"
23.659647653156,26.1096434698751,28.6786068016006,0.9,"area (hectares)","Roe12_F","Aberdeenshire","F",415.668837273454,"OUF anisotropic"
30.756632280101,33.9415326440997,37.2810862035292,0.95,"area (hectares)","Roe12_F","Aberdeenshire","F",415.668837273454,"OUF anisotropic"
46.3555803016757,51.1557776455083,56.1890641830607,0.99,"area (hectares)","Roe12_F","Aberdeenshire","F",415.668837273454,"OUF anisotropic"
46.3081439036656,49.4405485463598,52.6740120610684,0.9,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670272012487,"OU anisotropic"
62.4476752189955,66.6718002063491,71.0322055773579,0.95,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670272012487,"OU anisotropic"
112.554627432535,120.168118447416,128.027238907347,0.99,"area (hectares)","Roe13_F","Aberdeenshire","F",926.670272012487,"OU anisotropic"
72.8950966327764,83.3993922449901,94.6004126093226,0.9,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680291704261,"OU anisotropic"
107.299164174182,122.761138867858,139.248669284965,0.95,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680291704261,"OU anisotropic"
195.809606439995,224.026072084025,254.114068267298,0.99,"area (hectares)","Roe14_M","Aberdeenshire","M",226.680291704261,"OU anisotropic"
23.8052202047349,25.5403717912477,27.3356945898672,0.9,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988256215569,"OU anisotropic"
30.95664667086,33.2130624537049,35.5477257359184,0.95,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988256215569,"OU anisotropic"
49.2133537303152,52.8004925203941,56.5120253349902,0.99,"area (hectares)","Roe15_F","Aberdeenshire","F",803.988256215569,"OU anisotropic"
